ILEADSAddress,ILEADSStreet,CITY,STATE,fullSearch,lat,lon,lat_lon_combo
0,W FLORISSANT AVE / P,St. Louis,MO,"0 W FLORISSANT AVE / P, St. Louis, MO",,,NA
1514,E DE SOTO AVE,St. Louis,MO,"1514 E DE SOTO AVE, St. Louis, MO",,,"38.674733,-90.2123777"
0,BATES ST / MINNESOTA,St. Louis,MO,"0 BATES ST / MINNESOTA, St. Louis, MO",,,"38.5630062,-90.2461364"
0,VIRGINIA AVE / DELOR,St. Louis,MO,"0 VIRGINIA AVE / DELOR, St. Louis, MO",,,"38.5697061,-90.2467066"
0,LABADIE AVE / BISHOP,St. Louis,MO,"0 LABADIE AVE / BISHOP, St. Louis, MO",,,"38.6600977,-90.230544"
2146,E ADELAIDE AVE,St. Louis,MO,"2146 E ADELAIDE AVE, St. Louis, MO",,,"38.6751037,-90.2216208"
1935,E OBEAR AVE,St. Louis,MO,"1935 E OBEAR AVE, St. Louis, MO",,,"38.6714867,-90.2114623"
5015,UNION,St. Louis,MO,"5015 UNION, St. Louis, MO",,,"38.6390067,-90.2794146"
4200,SPRING,St. Louis,MO,"4200 SPRING, St. Louis, MO",,,"38.5835833,-90.2517231"
901,N LEONOR K SULLIVAN,St. Louis,MO,"901 N LEONOR K SULLIVAN, St. Louis, MO",,,"38.6297536,-90.1843615"
NA,W FLORISSANT AVE,St. Louis,MO,"NA W FLORISSANT AVE, St. Louis, MO",,,NA
1008,DILLON CT,St. Louis,MO,"1008 DILLON CT, St. Louis, MO",,,"38.6193455,-90.2087121"
0,S 10TH ST / EMMET ST,St. Louis,MO,"0 S 10TH ST / EMMET ST, St. Louis, MO",,,"38.609621,-90.2072543"
0,N COMPTON AVE / SCHO,St. Louis,MO,"0 N COMPTON AVE / SCHO, St. Louis, MO",,,"38.6420654,-90.2261897"
0,LEE AVE / N KINGSHIG,St. Louis,MO,"0 LEE AVE / N KINGSHIG, St. Louis, MO",,,"38.6806962,-90.2508053"
0,E GRAND AVE / HALL S,St. Louis,MO,"0 E GRAND AVE / HALL S, St. Louis, MO",,,"38.6760553,-90.2006131"
5435,DR MARTIN LUTHER KIN,St. Louis,MO,"5435 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6681311,-90.2737849"
2052,E DE SOTO AVE,St. Louis,MO,"2052 E DE SOTO AVE, St. Louis, MO",,,"38.6730278,-90.215301"
0,CALIFORNIA AVE / PAR,St. Louis,MO,"0 CALIFORNIA AVE / PAR, St. Louis, MO",,,"38.6189529,-90.2269795"
611,N 13TH,St. Louis,MO,"611 N 13TH, St. Louis, MO",,,NA
